# unicode=16.0.0 clusters=5274
codepoints	group	note
1F6B5+1F3FE+200D+2642	emoji-minimally-qualified	man mountain biking: medium-dark skin tone
1F6B5+1F3FF+200D+2642+FE0F	emoji-fully-qualified	man mountain biking: dark skin tone
1F6B5+1F3FF+200D+2642	emoji-minimally-qualified	man mountain biking: dark skin tone
1F6B5+200D+2640+FE0F	emoji-fully-qualified	woman mountain biking
1F6B5+200D+2640	emoji-minimally-qualified	woman mountain biking
1F6B5+1F3FB+200D+2640+FE0F	emoji-fully-qualified	woman mountain biking: light skin tone
1F6B5+1F3FB+200D+2640	emoji-minimally-qualified	woman mountain biking: light skin tone
1F6B5+1F3FC+200D+2640+FE0F	emoji-fully-qualified	woman mountain biking: medium-light skin tone
1F6B5+1F3FC+200D+2640	emoji-minimally-qualified	woman mountain biking: medium-light skin tone
1F6B5+1F3FD+200D+2640+FE0F	emoji-fully-qualified	woman mountain biking: medium skin tone
1F6B5+1F3FD+200D+2640	emoji-minimally-qualified	woman mountain biking: medium skin tone
1F6B5+1F3FE+200D+2640+FE0F	emoji-fully-qualified	woman mountain biking: medium-dark skin tone
1F6B5+1F3FE+200D+2640	emoji-minimally-qualified	woman mountain biking: medium-dark skin tone
1F6B5+1F3FF+200D+2640+FE0F	emoji-fully-qualified	woman mountain biking: dark skin tone
1F6B5+1F3FF+200D+2640	emoji-minimally-qualified	woman mountain biking: dark skin tone
1F938	emoji-fully-qualified	person cartwheeling
1F938+1F3FB	emoji-fully-qualified	person cartwheeling: light skin tone
1F938+1F3FC	emoji-fully-qualified	person cartwheeling: medium-light skin tone
1F938+1F3FD	emoji-fully-qualified	person cartwheeling: medium skin tone
1F938+1F3FE	emoji-fully-qualified	person cartwheeling: medium-dark skin tone
1F938+1F3FF	emoji-fully-qualified	person cartwheeling: dark skin tone
1F938+200D+2642+FE0F	emoji-fully-qualified	man cartwheeling
1F938+200D+2642	emoji-minimally-qualified	man cartwheeling
1F938+1F3FB+200D+2642+FE0F	emoji-fully-qualified	man cartwheeling: light skin tone
1F938+1F3FB+200D+2642	emoji-minimally-qualified	man cartwheeling: light skin tone
1F938+1F3FC+200D+2642+FE0F	emoji-fully-qualified	man cartwheeling: medium-light skin tone
1F938+1F3FC+200D+2642	emoji-minimally-qualified	man cartwheeling: medium-light skin tone
1F938+1F3FD+200D+2642+FE0F	emoji-fully-qualified	man cartwheeling: medium skin tone
1F938+1F3FD+200D+2642	emoji-minimally-qualified	man cartwheeling: medium skin tone
1F938+1F3FE+200D+2642+FE0F	emoji-fully-qualified	man cartwheeling: medium-dark skin tone
1F938+1F3FE+200D+2642	emoji-minimally-qualified	man cartwheeling: medium-dark skin tone
1F938+1F3FF+200D+2642+FE0F	emoji-fully-qualified	man cartwheeling: dark skin tone
1F938+1F3FF+200D+2642	emoji-minimally-qualified	man cartwheeling: dark skin tone
1F938+200D+2640+FE0F	emoji-fully-qualified	woman cartwheeling
1F938+200D+2640	emoji-minimally-qualified	woman cartwheeling
1F938+1F3FB+200D+2640+FE0F	emoji-fully-qualified	woman cartwheeling: light skin tone
1F938+1F3FB+200D+2640	emoji-minimally-qualified	woman cartwheeling: light skin tone
1F938+1F3FC+200D+2640+FE0F	emoji-fully-qualified	woman cartwheeling: medium-light skin tone
1F938+1F3FC+200D+2640	emoji-minimally-qualified	woman cartwheeling: medium-light skin tone
1F938+1F3FD+200D+2640+FE0F	emoji-fully-qualified	woman cartwheeling: medium skin tone
1F938+1F3FD+200D+2640	emoji-minimally-qualified	woman cartwheeling: medium skin tone
1F938+1F3FE+200D+2640+FE0F	emoji-fully-qualified	woman cartwheeling: medium-dark skin tone
1F938+1F3FE+200D+2640	emoji-minimally-qualified	woman cartwheeling: medium-dark skin tone
1F938+1F3FF+200D+2640+FE0F	emoji-fully-qualified	woman cartwheeling: dark skin tone
1F938+1F3FF+200D+2640	emoji-minimally-qualified	woman cartwheeling: dark skin tone
1F93C	emoji-fully-qualified	people wrestling
1F93C+200D+2642+FE0F	emoji-fully-qualified	men wrestling
1F93C+200D+2642	emoji-minimally-qualified	men wrestling
1F93C+200D+2640+FE0F	emoji-fully-qualified	women wrestling
1F93C+200D+2640	emoji-minimally-qualified	women wrestling
1F93D	emoji-fully-qualified	person playing water polo
1F93D+1F3FB	emoji-fully-qualified	person playing water polo: light skin tone
1F93D+1F3FC	emoji-fully-qualified	person playing water polo: medium-light skin tone
1F93D+1F3FD	emoji-fully-qualified	person playing water polo: medium skin tone
1F93D+1F3FE	emoji-fully-qualified	person playing water polo: medium-dark skin tone
1F93D+1F3FF	emoji-fully-qualified	person playing water polo: dark skin tone
1F93D+200D+2642+FE0F	emoji-fully-qualified	man playing water polo
1F93D+200D+2642	emoji-minimally-qualified	man playing water polo
1F93D+1F3FB+200D+2642+FE0F	emoji-fully-qualified	man playing water polo: light skin tone
1F93D+1F3FB+200D+2642	emoji-minimally-qualified	man playing water polo: light skin tone
1F93D+1F3FC+200D+2642+FE0F	emoji-fully-qualified	man playing water polo: medium-light skin tone
1F93D+1F3FC+200D+2642	emoji-minimally-qualified	man playing water polo: medium-light skin tone
1F93D+1F3FD+200D+2642+FE0F	emoji-fully-qualified	man playing water polo: medium skin tone
1F93D+1F3FD+200D+2642	emoji-minimally-qualified	man playing water polo: medium skin tone
1F93D+1F3FE+200D+2642+FE0F	emoji-fully-qualified	man playing water polo: medium-dark skin tone
1F93D+1F3FE+200D+2642	emoji-minimally-qualified	man playing water polo: medium-dark skin tone
1F93D+1F3FF+200D+2642+FE0F	emoji-fully-qualified	man playing water polo: dark skin tone
1F93D+1F3FF+200D+2642	emoji-minimally-qualified	man playing water polo: dark skin tone
1F93D+200D+2640+FE0F	emoji-fully-qualified	woman playing water polo
1F93D+200D+2640	emoji-minimally-qualified	woman playing water polo
1F93D+1F3FB+200D+2640+FE0F	emoji-fully-qualified	woman playing water polo: light skin tone
1F93D+1F3FB+200D+2640	emoji-minimally-qualified	woman playing water polo: light skin tone
1F93D+1F3FC+200D+2640+FE0F	emoji-fully-qualified	woman playing water polo: medium-light skin tone
1F93D+1F3FC+200D+2640	emoji-minimally-qualified	woman playing water polo: medium-light skin tone
1F93D+1F3FD+200D+2640+FE0F	emoji-fully-qualified	woman playing water polo: medium skin tone
1F93D+1F3FD+200D+2640	emoji-minimally-qualified	woman playing water polo: medium skin tone
1F93D+1F3FE+200D+2640+FE0F	emoji-fully-qualified	woman playing water polo: medium-dark skin tone
1F93D+1F3FE+200D+2640	emoji-minimally-qualified	woman playing water polo: medium-dark skin tone
1F93D+1F3FF+200D+2640+FE0F	emoji-fully-qualified	woman playing water polo: dark skin tone
1F93D+1F3FF+200D+2640	emoji-minimally-qualified	woman playing water polo: dark skin tone
1F93E	emoji-fully-qualified	person playing handball
1F93E+1F3FB	emoji-fully-qualified	person playing handball: light skin tone
1F93E+1F3FC	emoji-fully-qualified	person playing handball: medium-light skin tone
1F93E+1F3FD	emoji-fully-qualified	person playing handball: medium skin tone
1F93E+1F3FE	emoji-fully-qualified	person playing handball: medium-dark skin tone
1F93E+1F3FF	emoji-fully-qualified	person playing handball: dark skin tone
1F93E+200D+2642+FE0F	emoji-fully-qualified	man playing handball
1F93E+200D+2642	emoji-minimally-qualified	man playing handball
1F93E+1F3FB+200D+2642+FE0F	emoji-fully-qualified	man playing handball: light skin tone
1F93E+1F3FB+200D+2642	emoji-minimally-qualified	man playing handball: light skin tone
1F93E+1F3FC+200D+2642+FE0F	emoji-fully-qualified	man playing handball: medium-light skin tone
1F93E+1F3FC+200D+2642	emoji-minimally-qualified	man playing handball: medium-light skin tone
1F93E+1F3FD+200D+2642+FE0F	emoji-fully-qualified	man playing handball: medium skin tone
1F93E+1F3FD+200D+2642	emoji-minimally-qualified	man playing handball: medium skin tone
1F93E+1F3FE+200D+2642+FE0F	emoji-fully-qualified	man playing handball: medium-dark skin tone
1F93E+1F3FE+200D+2642	emoji-minimally-qualified	man playing handball: medium-dark skin tone
1F93E+1F3FF+200D+2642+FE0F	emoji-fully-qualified	man playing handball: dark skin tone
1F93E+1F3FF+200D+2642	emoji-minimally-qualified	man playing handball: dark skin tone
1F93E+200D+2640+FE0F	emoji-fully-qualified	woman playing handball
1F93E+200D+2640	emoji-minimally-qualified	woman playing handball
1F93E+1F3FB+200D+2640+FE0F	emoji-fully-qualified	woman playing handball: light skin tone
1F93E+1F3FB+200D+2640	emoji-minimally-qualified	woman playing handball: light skin tone
1F93E+1F3FC+200D+2640+FE0F	emoji-fully-qualified	woman playing handball: medium-light skin tone
1F93E+1F3FC+200D+2640	emoji-minimally-qualified	woman playing handball: medium-light skin tone
1F93E+1F3FD+200D+2640+FE0F	emoji-fully-qualified	woman playing handball: medium skin tone
1F93E+1F3FD+200D+2640	emoji-minimally-qualified	woman playing handball: medium skin tone
1F93E+1F3FE+200D+2640+FE0F	emoji-fully-qualified	woman playing handball: medium-dark skin tone
1F93E+1F3FE+200D+2640	emoji-minimally-qualified	woman playing handball: medium-dark skin tone
1F93E+1F3FF+200D+2640+FE0F	emoji-fully-qualified	woman playing handball: dark skin tone
1F93E+1F3FF+200D+2640	emoji-minimally-qualified	woman playing handball: dark skin tone
1F939	emoji-fully-qualified	person juggling
1F939+1F3FB	emoji-fully-qualified	person juggling: light skin tone
1F939+1F3FC	emoji-fully-qualified	person juggling: medium-light skin tone
1F939+1F3FD	emoji-fully-qualified	person juggling: medium skin tone
1F939+1F3FE	emoji-fully-qualified	person juggling: medium-dark skin tone
1F939+1F3FF	emoji-fully-qualified	person juggling: dark skin tone
1F939+200D+2642+FE0F	emoji-fully-qualified	man juggling
1F939+200D+2642	emoji-minimally-qualified	man juggling
1F939+1F3FB+200D+2642+FE0F	emoji-fully-qualified	man juggling: light skin tone
1F939+1F3FB+200D+2642	emoji-minimally-qualified	man juggling: light skin tone
1F939+1F3FC+200D+2642+FE0F	emoji-fully-qualified	man juggling: medium-light skin tone
1F939+1F3FC+200D+2642	emoji-minimally-qualified	man juggling: medium-light skin tone
1F939+1F3FD+200D+2642+FE0F	emoji-fully-qualified	man juggling: medium skin tone
1F939+1F3FD+200D+2642	emoji-minimally-qualified	man juggling: medium skin tone
1F939+1F3FE+200D+2642+FE0F	emoji-fully-qualified	man juggling: medium-dark skin tone
1F939+1F3FE+200D+2642	emoji-minimally-qualified	man juggling: medium-dark skin tone
1F939+1F3FF+200D+2642+FE0F	emoji-fully-qualified	man juggling: dark skin tone
1F939+1F3FF+200D+2642	emoji-minimally-qualified	man juggling: dark skin tone
1F939+200D+2640+FE0F	emoji-fully-qualified	woman juggling
1F939+200D+2640	emoji-minimally-qualified	woman juggling
1F939+1F3FB+200D+2640+FE0F	emoji-fully-qualified	woman juggling: light skin tone
1F939+1F3FB+200D+2640	emoji-minimally-qualified	woman juggling: light skin tone
1F939+1F3FC+200D+2640+FE0F	emoji-fully-qualified	woman juggling: medium-light skin tone
1F939+1F3FC+200D+2640	emoji-minimally-qualified	woman juggling: medium-light skin tone
1F939+1F3FD+200D+2640+FE0F	emoji-fully-qualified	woman juggling: medium skin tone
1F939+1F3FD+200D+2640	emoji-minimally-qualified	woman juggling: medium skin tone
1F939+1F3FE+200D+2640+FE0F	emoji-fully-qualified	woman juggling: medium-dark skin tone
1F939+1F3FE+200D+2640	emoji-minimally-qualified	woman juggling: medium-dark skin tone
1F939+1F3FF+200D+2640+FE0F	emoji-fully-qualified	woman juggling: dark skin tone
1F939+1F3FF+200D+2640	emoji-minimally-qualified	woman juggling: dark skin tone
1F9D8	emoji-fully-qualified	person in lotus position
1F9D8+1F3FB	emoji-fully-qualified	person in lotus position: light skin tone
1F9D8+1F3FC	emoji-fully-qualified	person in lotus position: medium-light skin tone
1F9D8+1F3FD	emoji-fully-qualified	person in lotus position: medium skin tone
1F9D8+1F3FE	emoji-fully-qualified	person in lotus position: medium-dark skin tone
1F9D8+1F3FF	emoji-fully-qualified	person in lotus position: dark skin tone
1F9D8+200D+2642+FE0F	emoji-fully-qualified	man in lotus position
1F9D8+200D+2642	emoji-minimally-qualified	man in lotus position
1F9D8+1F3FB+200D+2642+FE0F	emoji-fully-qualified	man in lotus position: light skin tone
1F9D8+1F3FB+200D+2642	emoji-minimally-qualified	man in lotus position: light skin tone
1F9D8+1F3FC+200D+2642+FE0F	emoji-fully-qualified	man in lotus position: medium-light skin tone
1F9D8+1F3FC+200D+2642	emoji-minimally-qualified	man in lotus position: medium-light skin tone
1F9D8+1F3FD+200D+2642+FE0F	emoji-fully-qualified	man in lotus position: medium skin tone
1F9D8+1F3FD+200D+2642	emoji-minimally-qualified	man in lotus position: medium skin tone
1F9D8+1F3FE+200D+2642+FE0F	emoji-fully-qualified	man in lotus position: medium-dark skin tone
1F9D8+1F3FE+200D+2642	emoji-minimally-qualified	man in lotus position: medium-dark skin tone
1F9D8+1F3FF+200D+2642+FE0F	emoji-fully-qualified	man in lotus position: dark skin tone
1F9D8+1F3FF+200D+2642	emoji-minimally-qualified	man in lotus position: dark skin tone
1F9D8+200D+2640+FE0F	emoji-fully-qualified	woman in lotus position
1F9D8+200D+2640	emoji-minimally-qualified	woman in lotus position
1F9D8+1F3FB+200D+2640+FE0F	emoji-fully-qualified	woman in lotus position: light skin tone
1F9D8+1F3FB+200D+2640	emoji-minimally-qualified	woman in lotus position: light skin tone
1F9D8+1F3FC+200D+2640+FE0F	emoji-fully-qualified	woman in lotus position: medium-light skin tone
1F9D8+1F3FC+200D+2640	emoji-minimally-qualified	woman in lotus position: medium-light skin tone
1F9D8+1F3FD+200D+2640+FE0F	emoji-fully-qualified	woman in lotus position: medium skin tone
1F9D8+1F3FD+200D+2640	emoji-minimally-qualified	woman in lotus position: medium skin tone
1F9D8+1F3FE+200D+2640+FE0F	emoji-fully-qualified	woman in lotus position: medium-dark skin tone
1F9D8+1F3FE+200D+2640	emoji-minimally-qualified	woman in lotus position: medium-dark skin tone
1F9D8+1F3FF+200D+2640+FE0F	emoji-fully-qualified	woman in lotus position: dark skin tone
1F9D8+1F3FF+200D+2640	emoji-minimally-qualified	woman in lotus position: dark skin tone
1F6C0	emoji-fully-qualified	person taking bath
1F6C0+1F3FB	emoji-fully-qualified	person taking bath: light skin tone
1F6C0+1F3FC	emoji-fully-qualified	person taking bath: medium-light skin tone
1F6C0+1F3FD	emoji-fully-qualified	person taking bath: medium skin tone
1F6C0+1F3FE	emoji-fully-qualified	person taking bath: medium-dark skin tone
1F6C0+1F3FF	emoji-fully-qualified	person taking bath: dark skin tone
1F6CC	emoji-fully-qualified	person in bed
1F6CC+1F3FB	emoji-fully-qualified	person in bed: light skin tone
1F6CC+1F3FC	emoji-fully-qualified	person in bed: medium-light skin tone
1F6CC+1F3FD	emoji-fully-qualified	person in bed: medium skin tone
1F6CC+1F3FE	emoji-fully-qualified	person in bed: medium-dark skin tone
1F6CC+1F3FF	emoji-fully-qualified	person in bed: dark skin tone
1F9D1+200D+1F91D+200D+1F9D1	emoji-fully-qualified	people holding hands
1F9D1+1F3FB+200D+1F91D+200D+1F9D1+1F3FB	emoji-fully-qualified	people holding hands: light skin tone
1F9D1+1F3FB+200D+1F91D+200D+1F9D1+1F3FC	emoji-fully-qualified	people holding hands: light skin tone, medium-light skin tone
1F9D1+1F3FB+200D+1F91D+200D+1F9D1+1F3FD	emoji-fully-qualified	people holding hands: light skin tone, medium skin tone
1F9D1+1F3FB+200D+1F91D+200D+1F9D1+1F3FE	emoji-fully-qualified	people holding hands: light skin tone, medium-dark skin tone
1F9D1+1F3FB+200D+1F91D+200D+1F9D1+1F3FF	emoji-fully-qualified	people holding hands: light skin tone, dark skin tone
1F9D1+1F3FC+200D+1F91D+200D+1F9D1+1F3FB	emoji-fully-qualified	people holding hands: medium-light skin tone, light skin tone
1F9D1+1F3FC+200D+1F91D+200D+1F9D1+1F3FC	emoji-fully-qualified	people holding hands: medium-light skin tone
1F9D1+1F3FC+200D+1F91D+200D+1F9D1+1F3FD	emoji-fully-qualified	people holding hands: medium-light skin tone, medium skin tone
1F9D1+1F3FC+200D+1F91D+200D+1F9D1+1F3FE	emoji-fully-qualified	people holding hands: medium-light skin tone, medium-dark skin tone
1F9D1+1F3FC+200D+1F91D+200D+1F9D1+1F3FF	emoji-fully-qualified	people holding hands: medium-light skin tone, dark skin tone
1F9D1+1F3FD+200D+1F91D+200D+1F9D1+1F3FB	emoji-fully-qualified	people holding hands: medium skin tone, light skin tone
1F9D1+1F3FD+200D+1F91D+200D+1F9D1+1F3FC	emoji-fully-qualified	people holding hands: medium skin tone, medium-light skin tone
1F9D1+1F3FD+200D+1F91D+200D+1F9D1+1F3FD	emoji-fully-qualified	people holding hands: medium skin tone
1F9D1+1F3FD+200D+1F91D+200D+1F9D1+1F3FE	emoji-fully-qualified	people holding hands: medium skin tone, medium-dark skin tone
1F9D1+1F3FD+200D+1F91D+200D+1F9D1+1F3FF	emoji-fully-qualified	people holding hands: medium skin tone, dark skin tone
1F9D1+1F3FE+200D+1F91D+200D+1F9D1+1F3FB	emoji-fully-qualified	people holding hands: medium-dark skin tone, light skin tone
1F9D1+1F3FE+200D+1F91D+200D+1F9D1+1F3FC	emoji-fully-qualified	people holding hands: medium-dark skin tone, medium-light skin tone
1F9D1+1F3FE+200D+1F91D+200D+1F9D1+1F3FD	emoji-fully-qualified	people holding hands: medium-dark skin tone, medium skin tone
1F9D1+1F3FE+200D+1F91D+200D+1F9D1+1F3FE	emoji-fully-qualified	people holding hands: medium-dark skin tone
1F9D1+1F3FE+200D+1F91D+200D+1F9D1+1F3FF	emoji-fully-qualified	people holding hands: medium-dark skin tone, dark skin tone
1F9D1+1F3FF+200D+1F91D+200D+1F9D1+1F3FB	emoji-fully-qualified	people holding hands: dark skin tone, light skin tone
1F9D1+1F3FF+200D+1F91D+200D+1F9D1+1F3FC	emoji-fully-qualified	people holding hands: dark skin tone, medium-light skin tone
1F9D1+1F3FF+200D+1F91D+200D+1F9D1+1F3FD	emoji-fully-qualified	people holding hands: dark skin tone, medium skin tone
1F9D1+1F3FF+200D+1F91D+200D+1F9D1+1F3FE	emoji-fully-qualified	people holding hands: dark skin tone, medium-dark skin tone
1F9D1+1F3FF+200D+1F91D+200D+1F9D1+1F3FF	emoji-fully-qualified	people holding hands: dark skin tone
1F46D	emoji-fully-qualified	women holding hands
1F46D+1F3FB	emoji-fully-qualified	women holding hands: light skin tone
1F469+1F3FB+200D+1F91D+200D+1F469+1F3FC	emoji-fully-qualified	women holding hands: light skin tone, medium-light skin tone
1F469+1F3FB+200D+1F91D+200D+1F469+1F3FD	emoji-fully-qualified	women holding hands: light skin tone, medium skin tone
1F469+1F3FB+200D+1F91D+200D+1F469+1F3FE	emoji-fully-qualified	women holding hands: light skin tone, medium-dark skin tone
1F469+1F3FB+200D+1F91D+200D+1F469+1F3FF	emoji-fully-qualified	women holding hands: light skin tone, dark skin tone
1F469+1F3FC+200D+1F91D+200D+1F469+1F3FB	emoji-fully-qualified	women holding hands: medium-light skin tone, light skin tone
1F46D+1F3FC	emoji-fully-qualified	women holding hands: medium-light skin tone
1F469+1F3FC+200D+1F91D+200D+1F469+1F3FD	emoji-fully-qualified	women holding hands: medium-light skin tone, medium skin tone
1F469+1F3FC+200D+1F91D+200D+1F469+1F3FE	emoji-fully-qualified	women holding hands: medium-light skin tone, medium-dark skin tone
1F469+1F3FC+200D+1F91D+200D+1F469+1F3FF	emoji-fully-qualified	women holding hands: medium-light skin tone, dark skin tone
1F469+1F3FD+200D+1F91D+200D+1F469+1F3FB	emoji-fully-qualified	women holding hands: medium skin tone, light skin tone
1F469+1F3FD+200D+1F91D+200D+1F469+1F3FC	emoji-fully-qualified	women holding hands: medium skin tone, medium-light skin tone
1F46D+1F3FD	emoji-fully-qualified	women holding hands: medium skin tone
1F469+1F3FD+200D+1F91D+200D+1F469+1F3FE	emoji-fully-qualified	women holding hands: medium skin tone, medium-dark skin tone
1F469+1F3FD+200D+1F91D+200D+1F469+1F3FF	emoji-fully-qualified	women holding hands: medium skin tone, dark skin tone
1F469+1F3FE+200D+1F91D+200D+1F469+1F3FB	emoji-fully-qualified	women holding hands: medium-dark skin tone, light skin tone
1F469+1F3FE+200D+1F91D+200D+1F469+1F3FC	emoji-fully-qualified	women holding hands: medium-dark skin tone, medium-light skin tone
1F469+1F3FE+200D+1F91D+200D+1F469+1F3FD	emoji-fully-qualified	women holding hands: medium-dark skin tone, medium skin tone
1F46D+1F3FE	emoji-fully-qualified	women holding hands: medium-dark skin tone
1F469+1F3FE+200D+1F91D+200D+1F469+1F3FF	emoji-fully-qualified	women holding hands: medium-dark skin tone, dark skin tone
1F469+1F3FF+200D+1F91D+200D+1F469+1F3FB	emoji-fully-qualified	women holding hands: dark skin tone, light skin tone
1F469+1F3FF+200D+1F91D+200D+1F469+1F3FC	emoji-fully-qualified	women holding hands: dark skin tone, medium-light skin tone
1F469+1F3FF+200D+1F91D+200D+1F469+1F3FD	emoji-fully-qualified	women holding hands: dark skin tone, medium skin tone
1F469+1F3FF+200D+1F91D+200D+1F469+1F3FE	emoji-fully-qualified	women holding hands: dark skin tone, medium-dark skin tone
1F46D+1F3FF	emoji-fully-qualified	women holding hands: dark skin tone
1F46B	emoji-fully-qualified	woman and man holding hands
1F46B+1F3FB	emoji-fully-qualified	woman and man holding hands: light skin tone
1F469+1F3FB+200D+1F91D+200D+1F468+1F3FC	emoji-fully-qualified	woman and man holding hands: light skin tone, medium-light skin tone
1F469+1F3FB+200D+1F91D+200D+1F468+1F3FD	emoji-fully-qualified	woman and man holding hands: light skin tone, medium skin tone
1F469+1F3FB+200D+1F91D+200D+1F468+1F3FE	emoji-fully-qualified	woman and man holding hands: light skin tone, medium-dark skin tone
1F469+1F3FB+200D+1F91D+200D+1F468+1F3FF	emoji-fully-qualified	woman and man holding hands: light skin tone, dark skin tone
1F469+1F3FC+200D+1F91D+200D+1F468+1F3FB	emoji-fully-qualified	woman and man holding hands: medium-light skin tone, light skin tone
1F46B+1F3FC	emoji-fully-qualified	woman and man holding hands: medium-light skin tone
1F469+1F3FC+200D+1F91D+200D+1F468+1F3FD	emoji-fully-qualified	woman and man holding hands: medium-light skin tone, medium skin tone
1F469+1F3FC+200D+1F91D+200D+1F468+1F3FE	emoji-fully-qualified	woman and man holding hands: medium-light skin tone, medium-dark skin tone
1F469+1F3FC+200D+1F91D+200D+1F468+1F3FF	emoji-fully-qualified	woman and man holding hands: medium-light skin tone, dark skin tone
1F469+1F3FD+200D+1F91D+200D+1F468+1F3FB	emoji-fully-qualified	woman and man holding hands: medium skin tone, light skin tone
1F469+1F3FD+200D+1F91D+200D+1F468+1F3FC	emoji-fully-qualified	woman and man holding hands: medium skin tone, medium-light skin tone
1F46B+1F3FD	emoji-fully-qualified	woman and man holding hands: medium skin tone
1F469+1F3FD+200D+1F91D+200D+1F468+1F3FE	emoji-fully-qualified	woman and man holding hands: medium skin tone, medium-dark skin tone
1F469+1F3FD+200D+1F91D+200D+1F468+1F3FF	emoji-fully-qualified	woman and man holding hands: medium skin tone, dark skin tone
1F469+1F3FE+200D+1F91D+200D+1F468+1F3FB	emoji-fully-qualified	woman and man holding hands: medium-dark skin tone, light skin tone
1F469+1F3FE+200D+1F91D+200D+1F468+1F3FC	emoji-fully-qualified	woman and man holding hands: medium-dark skin tone, medium-light skin tone
1F469+1F3FE+200D+1F91D+200D+1F468+1F3FD	emoji-fully-qualified	woman and man holding hands: medium-dark skin tone, medium skin tone
1F46B+1F3FE	emoji-fully-qualified	woman and man holding hands: medium-dark skin tone
1F469+1F3FE+200D+1F91D+200D+1F468+1F3FF	emoji-fully-qualified	woman and man holding hands: medium-dark skin tone, dark skin tone
1F469+1F3FF+200D+1F91D+200D+1F468+1F3FB	emoji-fully-qualified	woman and man holding hands: dark skin tone, light skin tone
1F469+1F3FF+200D+1F91D+200D+1F468+1F3FC	emoji-fully-qualified	woman and man holding hands: dark skin tone, medium-light skin tone
1F469+1F3FF+200D+1F91D+200D+1F468+1F3FD	emoji-fully-qualified	woman and man holding hands: dark skin tone, medium skin tone
1F469+1F3FF+200D+1F91D+200D+1F468+1F3FE	emoji-fully-qualified	woman and man holding hands: dark skin tone, medium-dark skin tone
1F46B+1F3FF	emoji-fully-qualified	woman and man holding hands: dark skin tone
1F46C	emoji-fully-qualified	men holding hands
1F46C+1F3FB	emoji-fully-qualified	men holding hands: light skin tone
1F468+1F3FB+200D+1F91D+200D+1F468+1F3FC	emoji-fully-qualified	men holding hands: light skin tone, medium-light skin tone
1F468+1F3FB+200D+1F91D+200D+1F468+1F3FD	emoji-fully-qualified	men holding hands: light skin tone, medium skin tone
1F468+1F3FB+200D+1F91D+200D+1F468+1F3FE	emoji-fully-qualified	men holding hands: light skin tone, medium-dark skin tone
1F468+1F3FB+200D+1F91D+200D+1F468+1F3FF	emoji-fully-qualified	men holding hands: light skin tone, dark skin tone
1F468+1F3FC+200D+1F91D+200D+1F468+1F3FB	emoji-fully-qualified	men holding hands: medium-light skin tone, light skin tone
1F46C+1F3FC	emoji-fully-qualified	men holding hands: medium-light skin tone
1F468+1F3FC+200D+1F91D+200D+1F468+1F3FD	emoji-fully-qualified	men holding hands: medium-light skin tone, medium skin tone
1F468+1F3FC+200D+1F91D+200D+1F468+1F3FE	emoji-fully-qualified	men holding hands: medium-light skin tone, medium-dark skin tone
1F468+1F3FC+200D+1F91D+200D+1F468+1F3FF	emoji-fully-qualified	men holding hands: medium-light skin tone, dark skin tone
1F468+1F3FD+200D+1F91D+200D+1F468+1F3FB	emoji-fully-qualified	men holding hands: medium skin tone, light skin tone
1F468+1F3FD+200D+1F91D+200D+1F468+1F3FC	emoji-fully-qualified	men holding hands: medium skin tone, medium-light skin tone
1F46C+1F3FD	emoji-fully-qualified	men holding hands: medium skin tone
1F468+1F3FD+200D+1F91D+200D+1F468+1F3FE	emoji-fully-qualified	men holding hands: medium skin tone, medium-dark skin tone
1F468+1F3FD+200D+1F91D+200D+1F468+1F3FF	emoji-fully-qualified	men holding hands: medium skin tone, dark skin tone
1F468+1F3FE+200D+1F91D+200D+1F468+1F3FB	emoji-fully-qualified	men holding hands: medium-dark skin tone, light skin tone
1F468+1F3FE+200D+1F91D+200D+1F468+1F3FC	emoji-fully-qualified	men holding hands: medium-dark skin tone, medium-light skin tone
1F468+1F3FE+200D+1F91D+200D+1F468+1F3FD	emoji-fully-qualified	men holding hands: medium-dark skin tone, medium skin tone
1F46C+1F3FE	emoji-fully-qualified	men holding hands: medium-dark skin tone
1F468+1F3FE+200D+1F91D+200D+1F468+1F3FF	emoji-fully-qualified	men holding hands: medium-dark skin tone, dark skin tone
1F468+1F3FF+200D+1F91D+200D+1F468+1F3FB	emoji-fully-qualified	men holding hands: dark skin tone, light skin tone
1F468+1F3FF+200D+1F91D+200D+1F468+1F3FC	emoji-fully-qualified	men holding hands: dark skin tone, medium-light skin tone
1F468+1F3FF+200D+1F91D+200D+1F468+1F3FD	emoji-fully-qualified	men holding hands: dark skin tone, medium skin tone
1F468+1F3FF+200D+1F91D+200D+1F468+1F3FE	emoji-fully-qualified	men holding hands: dark skin tone, medium-dark skin tone
1F46C+1F3FF	emoji-fully-qualified	men holding hands: dark skin tone
1F48F	emoji-fully-qualified	kiss
1F48F+1F3FB	emoji-fully-qualified	kiss: light skin tone
1F48F+1F3FC	emoji-fully-qualified	kiss: medium-light skin tone
1F48F+1F3FD	emoji-fully-qualified	kiss: medium skin tone
1F48F+1F3FE	emoji-fully-qualified	kiss: medium-dark skin tone
1F48F+1F3FF	emoji-fully-qualified	kiss: dark skin tone
1F9D1+1F3FB+200D+2764+FE0F+200D+1F48B+200D+1F9D1+1F3FC	emoji-fully-qualified	kiss: person, person, light skin tone, medium-light skin tone
